element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,10,"=""""","=""""","=""0.936157861""","=""0.000000003""","=""""","=""1.9731e+11""",AA,"=""0.00""","=""(10681959.1156)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.936169779""","=""0.000000003""","=""""","=""1.9698e+11""",AA,"=""0.00""","=""(10681823.127)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.948067037""","=""0.000000003""","=""""","=""3.4381e+11""",AA,"=""0.00""","=""(10547777.331)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.948088161""","=""0.000000003""","=""""","=""3.4331e+11""",AA,"=""0.00""","=""(10547542.316)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.970802754""","=""0.000000003""","=""""","=""6.8198e+11""",AA,"=""0.00""","=""(10300753.643)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.970846021""","=""0.000000003""","=""""","=""6.8127e+11""",AA,"=""0.00""","=""(10300294.573)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""1.023848727""","=""0.000000004""","=""""","=""1.6726e+12""",AA,"=""0.00""","=""(9767067.862)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""1.023962821""","=""0.000000004""","=""""","=""1.6722e+12""",AA,"=""0.00""","=""(9765979.58)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,9,"=""""","=""""","=""1.0640263""","=""0.0000008""","=""""","=""3.01e+11""",AA,"=""0.0""","=""(9398263.8)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.0642433""","=""0.0000008""","=""""","=""2.067e+08""",AA,"=""0.0""","=""(9396347.5)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.0764398""","=""0.0000008""","=""""","=""5.20e+11""",AA,"=""0.0""","=""(9289882.9)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.0768263""","=""0.0000008""","=""""","=""3.52e+08""",AA,"=""0.0""","=""(9286549.2)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.1000478""","=""0.0000009""","=""""","=""1.024e+12""",AA,"=""0.0""","=""(9090513.9)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.1008459""","=""0.0000009""","=""""","=""6.84e+08""",AA,"=""0.0""","=""(9083923.3)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.1546793""","=""0.0000010""","=""""","=""2.478e+12""",AA,"=""0.0""","=""(8660413.0)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.1568202""","=""0.0000010""","=""""","=""1.604e+09""",AA,"=""0.0""","=""(8644385.7)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",,"=""T7543""","=""""",
Ne,8,"=""1.160""","=""0.008""","=""1.159""","=""0.008""","=""""","=""""",,"=""[1135327.7]""","=""9760000?""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s.3p2""","=""2P""","=""3/2""",,"=""""","=""L9090u58,L2604""",
Ne,8,"=""1.1905""","=""0.0005""","=""1.1903""","=""0.0007""","=""900bl*""","=""""",,"=""0.0""","=""8401000?""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""""",,"=""""","=""L9090u58,L1845""",
Ne,8,"=""1.1905""","=""0.0005""","=""1.1905""","=""0.0008""","=""900bl*""","=""""",,"=""128149.4""","=""8528000?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L9090u58,L1845""",
Ne,8,"=""1.1905""","=""0.0005""","=""1.1907""","=""0.0008""","=""900bl*""","=""""",,"=""129797.8""","=""8528000?""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L9090u58,L1845""",
Ne,8,"=""1.1905""","=""0.0005""","=""1.19107""","=""0.00021""","=""900bl*""","=""""",,"=""0.0""","=""8395800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""4P*""","=""""",,"=""""","=""L9090u58,L1845""",
Ne,8,"=""1.1930""","=""0.0010""","=""1.1933""","=""0.0008""","=""1500bl*""","=""""",,"=""128149.4""","=""8508000""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2D""","=""""",,"=""""","=""L9090u58,L9276""",
Ne,8,"=""1.1930""","=""0.0010""","=""1.1936""","=""0.0008""","=""1500bl*""","=""""",,"=""129797.8""","=""8508000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""""",,"=""""","=""L9090u58,L9276""",
Ne,10,"=""""","=""""","=""1.213207793""","=""0.000000006""","=""""","=""6.2608e+12""",AA,"=""0.00""","=""(8242611.0852)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""1.213748609""","=""0.000000006""","=""""","=""6.2725e+12""",AA,"=""0.00""","=""(8238938.384)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,8,"=""1.246""","=""0.004""","=""1.246""","=""0.004""","=""600""","=""""",,"=""(7192195)""","=""15220000?""","=""1s.2s2""","=""2S""","=""1/2""","=""2s2.2p""","=""2P*""","=""3/2""",,"=""""","=""L9090u58,L2916""",
Ne,9,"=""""","=""""","=""1.3447302""","=""0.0000007""","=""""","=""8.85e+12""",AA,"=""0.0""","=""(7436435.990)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,8,"=""1.3469""","=""0.0005""","=""1.3470""","=""0.0005""","=""1200*""","=""""",,"=""[1147347]""","=""8571000""","=""1s2.3d""","=""2D""","=""3/2""","=""1s.2p.(1P*).3d""","=""2F*""","=""""",,"=""""","=""L9090u58,L23148""",
Ne,8,"=""1.3469""","=""0.0005""","=""1.3471""","=""0.0005""","=""1200*""","=""""",,"=""[1147494]""","=""8571000""","=""1s2.3d""","=""2D""","=""5/2""","=""1s.2p.(1P*).3d""","=""2F*""","=""""",,"=""""","=""L9090u58,L23148""",
Ne,8,"=""1.3488""","=""0.0005""","=""1.3486""","=""0.0005""","=""900*""","=""""",,"=""[1134839.5]""","=""8550000""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2D""","=""""",,"=""""","=""L9090u58,L23148""",
Ne,8,"=""1.3488""","=""0.0005""","=""1.3487""","=""0.0005""","=""900*""","=""""",,"=""[1135327.7]""","=""8550000""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2D""","=""""",,"=""""","=""L9090u58,L23148""",
Ne,8,"=""1.3541""","=""0.0005""","=""1.353641""","=""0.000018""","=""1200*""","=""""",,"=""128149.4""","=""(7515634)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",,"=""""","=""L22456,L3082c164,L9991,L21218,L9090""",
Ne,8,"=""1.3541""","=""0.0005""","=""1.353943""","=""0.000018""","=""1200*""","=""""",,"=""129797.8""","=""(7515634)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",,"=""""","=""L22456,L3082c164,L9991,L21218,L9090""",
Ne,9,"=""""","=""""","=""1.3553106""","=""0.0000007""","=""""","=""5.25e+09""",AA,"=""0.0""","=""(7378382.742)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",,"=""T7543""","=""""",
Ne,8,"=""1.3559""","=""0.0004""","=""1.356475""","=""0.000008""","=""2600*""","=""""",,"=""0.0""","=""(7372047)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",,"=""""","=""L22456,L3082c164,L9991,L21218,L9090""",
Ne,8,"=""1.3559""","=""0.0004""","=""1.356520""","=""0.000009""","=""2600*""","=""""",,"=""0.0""","=""(7371805)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",,"=""""","=""L22456,L3082c164,L9991,L21218,L9090""",
Ne,8,"=""1.365161""","=""0.000008""","=""1.365161""","=""0.000008""","=""7200*""","=""""",,"=""0.0""","=""7325142""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",,"=""""","=""L23119,L9991,L3082,L1845,L2953,L627,L9090""",
Ne,8,"=""1.365345""","=""0.000009""","=""1.365345""","=""0.000009""","=""7200*""","=""""",,"=""0.0""","=""7324156""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",,"=""""","=""L23119,L9991,L3082,L1845,L2953,L627,L9090""",
Ne,8,"=""1.36741""","=""0.00024""","=""1.366834""","=""0.000006""","=""540*""","=""""",,"=""128149.4""","=""(7444327)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",,"=""""","=""L22456,L3082c164,L21247c164,L9991,L9090""",
Ne,8,"=""1.36741""","=""0.00024""","=""1.367142""","=""0.000006""","=""540*""","=""""",,"=""128149.4""","=""(7442681)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""1/2""",,"=""""","=""L22456,L3082c164,L21247c164,L9991,L9090""",
Ne,8,"=""1.36741""","=""0.00024""","=""1.367142""","=""0.000006""","=""540*""","=""""",,"=""129797.8""","=""(7444327)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""3/2""",,"=""""","=""L22456,L3082c164,L21247c164,L9991,L9090""",
Ne,8,"=""1.36741""","=""0.00024""","=""1.367450""","=""0.000006""","=""540*""","=""""",,"=""129797.8""","=""(7442681)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""1/2""",,"=""""","=""L22456,L3082c164,L21247c164,L9991,L9090""",
Ne,9,"=""""","=""""","=""1.3698971""","=""0.0000008""","=""""","=""""",,"=""0.0""","=""(7299818.12)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",M1,"=""""","=""""",
Ne,8,"=""1.37085""","=""0.00011""","=""1.370674""","=""0.000019""","=""12000*""","=""""",,"=""128149.4""","=""(7423830)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2D""","=""3/2""",,"=""""","=""L22456,L9991,L3082c164,L1845,L627,L9090""",
Ne,8,"=""1.37085""","=""0.00011""","=""1.370984""","=""0.000019""","=""12000*""","=""""",,"=""129797.8""","=""(7423830)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""3/2""",,"=""""","=""L22456,L9991,L3082c164,L1845,L627,L9090""",
Ne,8,"=""1.37085""","=""0.00011""","=""1.371095""","=""0.000018""","=""12000*""","=""""",,"=""129797.8""","=""(7423240)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""5/2""",,"=""""","=""L22456,L9991,L3082c164,L1845,L627,L9090""",
Ne,8,"=""""","=""""","=""1.381689""","=""0.000006""","=""""","=""""",,"=""128149.4""","=""7365667+x""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""5/2""",,"=""""","=""""",
Ne,8,"=""1.3826""","=""0.0008""","=""1.381852""","=""0.000006""","=""2400bl*""","=""""",,"=""128149.4""","=""7364814+x""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""3/2""",,"=""""","=""L22456,L2953c164,L9090""",
Ne,8,"=""1.3826""","=""0.0008""","=""1.381995""","=""0.000006""","=""2400bl*""","=""""",,"=""128149.4""","=""7364063+x""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""1/2""",,"=""""","=""L22456,L2953c164,L9090""",
Ne,8,"=""1.3826""","=""0.0008""","=""1.382004""","=""0.000006""","=""2400bl*""","=""""",,"=""129797.8""","=""7365667+x""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""5/2""",,"=""""","=""L22456,L2953c164,L9090""",
Ne,8,"=""1.3826""","=""0.0008""","=""1.382167""","=""0.000006""","=""2400bl*""","=""""",,"=""129797.8""","=""7364814+x""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""3/2""",,"=""""","=""L22456,L2953c164,L9090""",
Ne,8,"=""1.3826""","=""0.0008""","=""1.382310""","=""0.000006""","=""2400bl*""","=""""",,"=""129797.8""","=""7364063+x""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""1/2""",,"=""""","=""L22456,L2953c164,L9090""",
Ne,8,"=""""","=""""","=""1.383488""","=""0.000007""","=""""","=""""",,"=""0.0""","=""7228107+x""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""5/2""",,"=""""","=""""",
Ne,8,"=""1.3839""","=""0.0004""","=""1.383701""","=""0.000006""","=""2400bl*""","=""""",,"=""0.0""","=""(7226994)+x""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""",,"=""""","=""L22456,L9991,L9090""",
Ne,8,"=""1.3839""","=""0.0004""","=""1.383785""","=""0.000007""","=""2400bl*""","=""""",,"=""0.0""","=""7226557+x""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""1/2""",,"=""""","=""L22456,L9991,L9090""",
Ne,7,"=""1.3844""","=""0.0011""","=""1.3841""","=""0.0023""","=""80bl*""","=""""",,"=""289330.4""","=""7514000""","=""1s2.2p2""","=""3P""","=""0""","=""1s.2p3""","=""3S*""","=""1""",,"=""""","=""L9089""",
Ne,7,"=""1.3844""","=""0.0011""","=""1.3842""","=""0.0023""","=""80bl*""","=""""",,"=""289841.1""","=""7514000""","=""1s2.2p2""","=""3P""","=""1""","=""1s.2p3""","=""3S*""","=""1""",,"=""""","=""L9089""",
Ne,7,"=""1.3844""","=""0.0011""","=""1.3844""","=""0.0021""","=""80bl*""","=""""",,"=""290724""","=""7514000""","=""1s2.2p2""","=""3P""","=""2""","=""1s.2p3""","=""3S*""","=""1""",,"=""""","=""L9089""",
Ne,7,"=""1.3879""","=""0.0003""","=""1.3879""","=""0.0003""","=""60""","=""""",,"=""112702.4""","=""7317900""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""""",,"=""""","=""L9089""",
Ne,7,"=""1.3884""","=""0.0005""","=""1.3876""","=""0.0004""","=""*""","=""""",,"=""111252.8""","=""7317800""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""""",,"=""""","=""L9089""",
Ne,7,"=""1.3884""","=""0.0005""","=""1.3877""","=""0.0004""","=""*""","=""""",,"=""111708.0""","=""7317800""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""""",,"=""""","=""L9089""",
Ne,7,"=""1.3884""","=""0.0005""","=""1.3879""","=""0.0004""","=""*""","=""""",,"=""112702.4""","=""7317800""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""""",,"=""""","=""L9089""",
Ne,7,"=""1.3941""","=""0.0004""","=""1.3941""","=""0.0004""","=""14""","=""""",,"=""214951.6""","=""7388000""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s.(2S).2s.2p2.(2D)""","=""1D""","=""2""",,"=""""","=""L9089""",
Ne,7,"=""""","=""""","=""1.3943""","=""0.0003""","=""m""","=""""",,"=""290724""","=""7462800""","=""1s2.2p2""","=""3P""","=""2""","=""1s.2p3""","=""3D*""","=""""",,"=""""","=""L9089""",
Ne,8,"=""""","=""""","=""1.415619""","=""0.000015""","=""""","=""""",,"=""128149.4""","=""(7192195)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""2S""","=""1/2""",,"=""""","=""""",
Ne,8,"=""""","=""""","=""1.415950""","=""0.000015""","=""""","=""""",,"=""129797.8""","=""(7192195)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""2S""","=""1/2""",,"=""""","=""""",
Ne,10,"=""""","=""""","=""4.09329354""","=""0.00000005""","=""""","=""4.3098e+10""",AA,"=""(8238938.384)""","=""(10681958.8786)""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.09351082""","=""0.00000005""","=""""","=""2.4598e+09""",AA,"=""(8238938.384)""","=""(10681829.203)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.09356477""","=""0.00000005""","=""""","=""2.8616e+10""",AA,"=""(8239100.49)""","=""(10681959.1156)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.09379266""","=""0.00000005""","=""""","=""2.8671e+10""",AA,"=""(8239100.49)""","=""(10681823.127)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.09938040""","=""0.00000004""","=""""","=""5.1501e+10""",AA,"=""(8242611.0852)""","=""(10682004.1186)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.09945643""","=""0.00000004""","=""""","=""8.5696e+09""",AA,"=""(8242611.0852)""","=""(10681958.8786)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.09967437""","=""0.00000005""","=""""","=""4.9696e+09""",AA,"=""(8242611.0852)""","=""(10681829.203)""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.33118203""","=""0.00000005""","=""""","=""7.8940e+10""",AA,"=""(8238938.384)""","=""(10547776.924)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.33148539""","=""0.00000006""","=""""","=""4.9531e+10""",AA,"=""(8239100.49)""","=""(10547777.331)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.33160249""","=""0.00000005""","=""""","=""4.3132e+09""",AA,"=""(8238938.384)""","=""(10547552.809)""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.33192636""","=""0.00000006""","=""""","=""4.9646e+10""",AA,"=""(8239100.49)""","=""(10547542.316)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.33793557""","=""0.00000005""","=""""","=""9.4349e+10""",AA,"=""(8242611.0852)""","=""(10547855.100)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.33808268""","=""0.00000005""","=""""","=""1.5703e+10""",AA,"=""(8242611.0852)""","=""(10547776.924)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.33850448""","=""0.00000005""","=""""","=""8.7145e+09""",AA,"=""(8242611.0852)""","=""(10547552.809)""","=""2p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
Ne,9,"=""""","=""""","=""4.769657""","=""0.000014""","=""""","=""1.957e+10""",AA,"=""(7299818.12)""","=""(9396404.8)""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""4.769788""","=""0.000014""","=""""","=""1.957e+10""",AA,"=""(7299818.12)""","=""(9396347.5)""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""4.769818""","=""0.000014""","=""""","=""1.957e+10""",AA,"=""(7299818.12)""","=""(9396334.3)""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""0""",,"=""T7543LS""","=""""",
Ne,10,"=""""","=""""","=""4.85009691""","=""0.00000007""","=""""","=""1.7267e+11""",AA,"=""(8238938.384)""","=""(10300752.854)""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.85047642""","=""0.00000007""","=""""","=""9.6741e+10""",AA,"=""(8239100.49)""","=""(10300753.643)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.85112705""","=""0.00000008""","=""""","=""8.6308e+09""",AA,"=""(8238938.384)""","=""(10300315.030)""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.85155672""","=""0.00000007""","=""""","=""9.7037e+10""",AA,"=""(8239100.49)""","=""(10300294.573)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.85839136""","=""0.00000006""","=""""","=""2.0646e+11""",AA,"=""(8242611.0852)""","=""(10300905.539)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.85875179""","=""0.00000006""","=""""","=""3.4374e+10""",AA,"=""(8242611.0852)""","=""(10300752.854)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""4.85978560""","=""0.00000008""","=""""","=""1.7441e+10""",AA,"=""(8242611.0852)""","=""(10300315.030)""","=""2p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
Ne,9,"=""""","=""""","=""4.951240""","=""0.000020""","=""""","=""2.016e+10""",AA,"=""(7378082.095)""","=""(9397778.3)""","=""1s.2p""","=""3P*""","=""0""","=""1s.6d""","=""3D""","=""1""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""4.951967""","=""0.000020""","=""""","=""2.72e+10""",AA,"=""(7378382.742)""","=""(9397782.3)""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""4.951977""","=""0.000020""","=""""","=""1.511e+10""",AA,"=""(7378382.742)""","=""(9397778.3)""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""1""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""4.955743""","=""0.000020""","=""""","=""3.62e+10""",AA,"=""(7379940.384)""","=""(9397801.3)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""4.955790""","=""0.000020""","=""""","=""9.05e+09""",AA,"=""(7379940.384)""","=""(9397782.3)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""4.955799""","=""0.000020""","=""""","=""1.005e+09""",AA,"=""(7379940.384)""","=""(9397778.3)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""4.961059""","=""0.000015""","=""""","=""1.864e+10""",AA,"=""(7382565.05)""","=""(9398263.8)""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""4.965780""","=""0.000015""","=""""","=""1.357e+07""",AA,"=""(7382565.05)""","=""(9396347.5)""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""5.033143""","=""0.000015""","=""""","=""3.36e+10""",AA,"=""(7299818.12)""","=""(9286648.3)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""5.033394""","=""0.000015""","=""""","=""3.36e+10""",AA,"=""(7299818.12)""","=""(9286549.2)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""5.033451""","=""0.000015""","=""""","=""3.36e+10""",AA,"=""(7299818.12)""","=""(9286526.5)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""0""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""5.23295""","=""0.00004""","=""""","=""3.66e+10""",AA,"=""(7378082.095)""","=""(9289050)""","=""1s.2p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""5.23375""","=""0.00004""","=""""","=""4.94e+10""",AA,"=""(7378382.742)""","=""(9289058)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""5.23377""","=""0.00004""","=""""","=""2.75e+10""",AA,"=""(7378382.742)""","=""(9289050)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",,"=""T7543LS""","=""""",
Ne,9,"=""""","=""""","=""5.23794""","=""0.00005""","=""""","=""6.57e+10""",AA,"=""(7379940.384)""","=""(9289088)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",,"=""T7543LS""","=""""",
