element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,1,"=""1329.6547""","=""0.0004""","=""1329.6546""","=""0.0003""","=""6""","=""""",,"=""163038.3544""","=""170557.0484""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
Ne,7,"=""""","=""""","=""1330""","=""110""","=""""","=""8.7e+03""",B,"=""1453100""","=""1460600""","=""1s2.2s.5d""","=""3D""","=""2""","=""1s2.2p.4d""","=""3D*""","=""1""",,"=""T5633c91,LS""","=""""",
Ne,1,"=""1333.9714""","=""0.0003""","=""1333.9715""","=""0.0003""","=""10""","=""""",,"=""163038.3544""","=""170532.7169""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""""","=""L9097""",
Ne,1,"=""1338.9290""","=""0.0005""","=""1338.9285""","=""0.0004""","=""7""","=""""",,"=""163401.3061""","=""170867.923""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
Ne,1,"=""1352.7073""","=""0.0004""","=""1352.7073""","=""0.0003""","=""5""","=""3.15e+04""",C+,"=""162899.1169""","=""170289.6782""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""T6976""","=""L9097""",
Ne,2,"=""1354.1666""","=""0.0012""","=""1354.1667""","=""0.0004""","=""9""","=""""",,"=""276511.800""","=""283894.3965""","=""2s2.2p4.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).4s""","=""2P""","=""1/2""",,"=""""","=""L11301""",
Ne,1,"=""1358.5088""","=""0.0007""","=""1358.5098""","=""0.0006""","=""5""","=""""",,"=""164285.8872""","=""171644.882""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
Ne,8,"=""""","=""""","=""1368""","=""7""","=""""","=""5.4e+06""",C,"=""[1637460]""","=""[1644768]""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""3/2""",,"=""T7495""","=""""",
Ne,1,"=""1373.8735""","=""0.0004""","=""1373.8737""","=""0.0003""","=""4""","=""3.70e+04""",C+,"=""163012.6247""","=""170289.3243""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1386.6305""","=""0.0002""","=""1386.6304""","=""0.0003""","=""9""","=""""",,"=""162517.8755""","=""169727.6312""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""""","=""L9097""",
